,Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,PS,KG,1,2,3,4,5,6,7,8,9,10,11,12,Total
829,2018,Hyder Elementary District,4502,Dateland Elementary School,6180,*,*,*,11,*,*,*,11,13,*,*,*,*,*,87
830,2018,"Imagine Avondale Elementary, Inc.",89784,Imagine Avondale Elementary,89785,*,94,87,94,92,88,73,*,*,*,*,*,*,*,528
831,2018,"Imagine Avondale Middle, Inc.",90162,Imagine Avondale Middle,90163,*,*,*,*,*,*,*,77,90,56,*,*,*,*,223
832,2018,"Imagine Camelback Middle, Inc.",89561,Imagine Camelback Middle,89562,*,*,*,*,*,*,*,60,67,54,*,*,*,*,181
833,2018,"Imagine Charter Elementary at Camelback, Inc.",88365,Imagine Camelback Elementary,88366,*,97,62,65,51,75,72,*,*,*,*,*,*,*,422
834,2018,"Imagine Charter Elementary at Desert West, Inc.",88367,Imagine Desert West Elementary,88368,*,139,114,126,133,137,143,*,*,*,*,*,*,*,792
835,2018,"Imagine Coolidge Elementary, Inc.",89786,Imagine Coolidge Elementary,89787,*,90,110,105,113,108,98,*,*,*,*,*,*,*,624
836,2018,"Imagine Desert West Middle, Inc.",89563,Imagine Desert West Middle,89564,*,*,*,*,*,*,*,137,133,125,*,*,*,*,395
837,2018,"Imagine Elementary at Tempe, Inc.",88374,Imagine Tempe,88375,*,49,49,32,46,34,29,22,*,*,*,*,*,*,261
838,2018,"Imagine Middle at East Mesa, Inc.",88369,Imagine East Mesa Middle,88370,*,*,*,*,*,*,*,*,74,58,*,*,*,*,132
839,2018,"Imagine Middle at Surprise, Inc.",88372,Imagine Surprise Middle,88373,*,*,*,*,*,*,*,124,119,129,*,*,*,*,372
840,2018,"Imagine Prep Coolidge, Inc.",90034,Imagine Prep Coolidge,90035,*,*,*,*,*,*,*,116,99,93,77,48,28,26,487
841,2018,"Imagine Prep Superstition, Inc.",89788,Imagine Prep Superstition,89789,*,*,*,*,*,*,*,*,*,*,119,95,93,59,366
842,2018,"Imagine Prep Surprise, Inc.",89790,Imagine Prep Surprise,89791,*,*,*,*,*,*,*,*,*,*,95,90,71,90,346
